CVE_ID,Description,PublishedDate,Severity
CVE-1999-1310,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER.  ConsultIDs: CVE-1999-1022.  Reason: This candidate is a duplicate of CVE-1999-1022.  Notes: All CVE users should reference CVE-1999-1022 instead of this candidate.  All references and descriptions in this candidate have been removed to prevent accidental usage,1994-11-04T05:00:00.000,
CVE-1999-1248,Vulnerability in Support Watch (aka SupportWatch) in HP-UX 8.0 through 9.0 allows local users to gain privileges.,1994-11-30T05:00:00.000,
CVE-1999-1302,Unspecified vulnerability in pt_chmod in SCO UNIX 4.2 and earlier allows local users to gain root access.,1994-11-30T05:00:00.000,
CVE-1999-1303,Vulnerability in prwarn in SCO UNIX 4.2 and earlier allows local users to gain root access.,1994-11-30T05:00:00.000,
CVE-1999-1304,Vulnerability in login in SCO UNIX 4.2 and earlier allows local users to gain root access.,1994-11-30T05:00:00.000,
CVE-1999-1305,"Vulnerability in ""at"" program in SCO UNIX 4.2 and earlier allows local users to gain root access.",1994-11-30T05:00:00.000,
CVE-2000-0508,rpc.lockd in Red Hat Linux 6.1 and 6.2 allows remote attackers to cause a denial of service via a malformed request.,1994-12-19T05:00:00.000,
CVE-1999-0077,Predictable TCP sequence numbers allow spoofing.,1995-01-01T05:00:00.000,
CVE-1999-0232,Buffer overflow in NCSA WebServer (version 1.5c) gives remote access.,1995-02-01T05:00:00.000,
CVE-1999-0235,Buffer overflow in NCSA WebServer (1.4.1 and below) gives remote access.,1995-02-17T05:00:00.000,
CVE-1999-0242,Remote attackers can access mail files via POP3 in some Linux systems that are using shadow passwords.,1995-03-01T05:00:00.000,
CVE-1999-1098,Vulnerability in BSD Telnet client with encryption and Kerberos 4 authentication allows remote attackers to decrypt the session via sniffing.,1995-03-03T05:00:00.000,
CVE-1999-1243,SGI Desktop Permissions Tool in IRIX 6.0.1 and earlier allows local users to modify permissions for arbitrary files and gain privileges.,1995-03-03T05:00:00.000,
CVE-1999-0151,"The SATAN session key may be disclosed if the user points the web browser to other sites, possibly allowing root access.",1995-04-03T04:00:00.000,
CVE-1999-1080,"rmmount in SunOS 5.7 may mount file systems without the nosuid flag set, contrary to the documentation and its use in previous versions of SunOS, which could allow local users with physical access to gain root privileges by mounting a floppy or CD-ROM that contains a setuid program and running volcheck, when the file systems do not have the nosuid option specified in rmmount.conf.",1995-05-10T04:00:00.000,
CVE-1999-0066,AnyForm CGI remote execution.,1995-07-31T04:00:00.000,CRITICAL
CVE-1999-0161,"In Cisco IOS 10.3, with the tacacs-ds or tacacs keyword, an extended IP access control list could bypass filtering.",1995-07-31T04:00:00.000,
CVE-1999-0172,FormMail CGI program allows remote execution of commands.,1995-08-02T04:00:00.000,
CVE-1999-0203,"In Sendmail, attackers can gain root privileges via SMTP by specifying an improper ""mail from"" address and an invalid ""rcpt to"" address that would cause the mail to bounce to a program.",1995-08-17T04:00:00.000,
CVE-1999-1580,"SunOS sendmail 5.59 through 5.65 uses popen to process a forwarding host argument, which allows local users to gain root privileges by modifying the IFS (Internal Field Separator) variable and passing crafted values to the -oR option.",1995-08-23T04:00:00.000,
CVE-1999-0164,A race condition in the Solaris ps command allows an attacker to overwrite critical files.,1995-08-29T04:00:00.000,
CVE-1999-0155,The ghostscript command with the -dSAFER option allows remote attackers to execute commands.,1995-08-31T04:00:00.000,
CVE-1999-0245,"Some configurations of NIS+ in Linux allowed attackers to log in as the user ""+"".",1995-09-07T04:00:00.000,
